Table 1
CMANAME,CMAUID,CSDNAME,CSDUID,public_caf,public_ef,public_emp,public_gs,public_hf,public_psef,public_srf,walk_caf,walk_ef,walk_emp,walk_gs,walk_hf,walk_psef,walk_srf,ada_code_n,ADA_code
Toronto,535,Toronto,3520005,0.159223106416667,0.433365368295179,0.361341690052559,18.7142857142857,0.283038321006942,0.0502941116398653,0.212665767267671,0.0159721848333333,0.223558447045369,0.0837176846019085,9.5811247311828,0.0776646554594592,0,0.06181225625,35202004,  35202004
Toronto,535,Caledon,3521024,0.000945822641666666,0.00140637828836924,0.000313853027869174,11.2,0.0002667800210803,0,0.000900247334163892,0.00181121804166667,0.0109924587264847,0.00134585403360608,7.22215757575757,0.00116901614375947,0,0.00573002866666667,35210001,  35210001
Toronto,535,Caledon,3521024,0.0000136268157894737,0.00322460976497961,0.00102604385591554,35,0.000540630453958871,0.0000890112709148211,0.000390311037794908,0.000727190078947368,0.015187993838055,0.00308066830606198,8.47153939393939,0.00231763473675609,0,0.00667811468421053,35210002,  35210002
Toronto,535,Caledon,3521024,0.00177424432432432,0.00143575563981936,0.000478988547786388,17.1666666666667,0.000344515366104996,0,0.00111368498514124,0.00330196271621622,0.0134232081239557,0.00159828308740835,4.75478333333333,0.0017215878264423,0,0.00432930282432432,35210003,  35210003
Toronto,535,Caledon,3521024,0,0.00207950047172664,0.000937315681086636,,0.000820902736249829,0,0.00164664686946955,0.00101656147619048,0.0455628260012868,0.00685106158431855,10.4186974358974,0.00583839297014366,0,0.0176826305238095,35210004,  35210004
Toronto,535,Caledon,3521024,0,0.00454826248071182,0.00162945377609043,11.7916666666667,0.0019445575351544,0,0.000337390323463993,0.00157401525352113,0.0576722104599578,0.0166723865247248,4.54935,0.0119560829014555,0,0.0188287213802817,35210005,  35210005
Toronto,535,Caledon,3521024,0.00107137564,0.00165128173724323,0.00196425129182625,13.4,0.000761385991873427,0,0.00291037638469172,0.0029373922,0.0456679702368543,0.0152185735403066,6.51754824561403,0.00787889051455769,0,0.02482686838,35210006,  35210006
Toronto,535,Caledon,3521024,0.00128169674390244,0.00186642822311777,0.000524649631143505,31,0.000353827511410909,0,0.00175987673829725,0.00269635223170732,0.00881475041111866,0.00114381360339226,7.32723333333333,0.00102928122836837,0,0.00682378959756098,35210007,  35210007
Toronto,535,Brampton,3521010,0.0219980124102564,0.156639093654675,0.132265375493878,14.8205128205128,0.0489675342249372,0.0213554682941924,0.0655913144976867,0,0.056407310252345,0.0244339051752886,4.21617061403509,0.0147494619070874,0,0.0286684575384615,35210011,  35210011
Toronto,535,Brampton,3521010,0.0124116404142857,0.0964907830246706,0.0726475361556594,17.7916666666667,0.0296040305737317,0.00596748668780587,0.0290912388212792,0,0.073930731376879,0.0235477240226881,6.21746404761905,0.0226533690590116,0,0.00932722568571428,35210012,  35210012
Toronto,535,Brampton,3521010,0.0162510083636364,0.124698548998691,0.0917549971256918,19.3333333333333,0.0361640575547152,0.00567497456789426,0.0373781536422185,0,0.107803229661289,0.0290224832364428,4.68495707070707,0.0231292764227216,0,0.014052775030303,35210014,  35210014
Toronto,535,Brampton,3521010,0.0221736157368421,0.143124239616884,0.103399533344504,14.1052631578947,0.0420476426019149,0.00513834995530161,0.0431535797827329,0.00423486860526316,0.136005480629677,0.0316082645562061,8.0258519047619,0.0211206638144392,0,0.0143534542105263,35210019,  35210019
Toronto,535,Brampton,3521010,0.0286914084166667,0.182022904661358,0.139470507880396,13.7916666666667,0.0573293742333754,0.00848122970888726,0.0626846289351819,0.000353793541666667,0.102506952354331,0.0348521439991859,2.69154583333333,0.0437851926438611,0,0.0174131916666667,35210020,  35210020
Toronto,535,Brampton,3521010,0.0261857238157895,0.165377927753599,0.125596796627077,23.4210526315789,0.0522898608964416,0.006610686322564,0.053825423926336,0.00285652239473684,0.134571670985865,0.0392982996345405,6.15456421568627,0.0452884843511832,0,0.0172625383421053,35210021,  35210021
Toronto,535,Brampton,3521010,0.0290904080869565,0.166329021981562,0.117953804880971,27.2173913043478,0.0503932750758061,0.00523839124595617,0.0539966114310219,0.00329399739130435,0.150303454021341,0.0388726226756026,7.83648985507246,0.0424146878138167,0,0.0286964345217391,35210022,  35210022
Toronto,535,Brampton,3521010,0.0338403857567568,0.185512505340034,0.14343582970974,21.3783783783784,0.0561320929560244,0.00870146695760541,0.0670606825733603,0.000579016702702703,0.120048829517938,0.0239648190971272,5.75464684684685,0.0308380956133745,0,0.0304741626216216,35210023,  35210023
Toronto,535,Brampton,3521010,0.0268467314285714,0.151725280079248,0.10020418643841,12.1428571428571,0.0398810748801399,0.00387656267212432,0.0485577538005422,0.00325124428571429,0.174940674193914,0.0310424033190511,2.68071428571429,0.0169423481683642,0,0.0350047293214286,35210025,  35210025
Toronto,535,Mississauga,3521005,0.0636776288157895,0.257777986808913,0.238956214655702,18.9473684210526,0.0891220183456524,0.0323424732570661,0.127633084884457,0.00868635268421052,0.143886285482142,0.0216360229547004,4.35955131578947,0.0153921403788223,0,0.0602974469473684,35210026,  35210026
Toronto,535,Brampton,3521010,0.0307300096666667,0.169354869881815,0.118696527996354,23.5833333333333,0.049344386738042,0.00519370144258136,0.0566275680664808,0.002390491125,0.170324799688256,0.0375069050786797,6.33089583333333,0.0306162421095021,0,0.033108248375,35210027,  35210027
Toronto,535,Brampton,3521010,0.0435016239714286,0.204385698755926,0.170813810730623,21.8571428571429,0.0606649489366982,0.012083555775914,0.0793855811936755,0.0135790098285714,0.201407691751955,0.0206518918876749,8.7786688172043,0.0204185525768247,0,0.0639427463142857,35210028,  35210028
Toronto,535,Brampton,3521010,0.0324202964285714,0.167569042163041,0.118956451358764,22.8571428571429,0.0479079735442637,0.00459857656251664,0.0579429701028606,0.000711666571428571,0.156254464967457,0.0313881834290255,5.22357301587302,0.0221059871497114,0,0.038532278,35210029,  35210029
